Area,Date,Area type,Region,Commodity category,Amount (USD),Amount 12 month rolling sum (USD)
Afghanistan,1/1/2018,Country or economy,Asia,All technologies,3012954,
Afghanistan,1/1/2018,Country or economy,Asia,Batteries,186367,
Afghanistan,1/1/2018,Country or economy,Asia,EVs,5896,
Afghanistan,1/1/2018,Country or economy,Asia,Grid,781930,
Afghanistan,1/1/2018,Country or economy,Asia,Heating and cooling systems,752309,
Afghanistan,1/1/2018,Country or economy,Asia,Solar PV,1286452,
Afghanistan,1/1/2018,Country or economy,Asia,Wind,0,
Afghanistan,2/1/2018,Country or economy,Asia,All technologies,1541526,
Afghanistan,2/1/2018,Country or economy,Asia,Batteries,207700,
Afghanistan,2/1/2018,Country or economy,Asia,EVs,87025,
Afghanistan,2/1/2018,Country or economy,Asia,Grid,27848,
Afghanistan,2/1/2018,Country or economy,Asia,Heating and cooling systems,106700,
Afghanistan,2/1/2018,Country or economy,Asia,Solar PV,1112253,
Afghanistan,2/1/2018,Country or economy,Asia,Wind,0,
Afghanistan,3/1/2018,Country or economy,Asia,All technologies,2693527,
Afghanistan,3/1/2018,Country or economy,Asia,Batteries,325797,
Afghanistan,3/1/2018,Country or economy,Asia,EVs,0,
Afghanistan,3/1/2018,Country or economy,Asia,Grid,72826,
Afghanistan,3/1/2018,Country or economy,Asia,Heating and cooling systems,272708,
Afghanistan,3/1/2018,Country or economy,Asia,Solar PV,2022196,
Afghanistan,3/1/2018,Country or economy,Asia,Wind,0,
Afghanistan,4/1/2018,Country or economy,Asia,All technologies,4856940,
Afghanistan,4/1/2018,Country or economy,Asia,Batteries,34203,
Afghanistan,4/1/2018,Country or economy,Asia,EVs,0,
Afghanistan,4/1/2018,Country or economy,Asia,Grid,20471,
Afghanistan,4/1/2018,Country or economy,Asia,Heating and cooling systems,477767,
Afghanistan,4/1/2018,Country or economy,Asia,Solar PV,4324499,
Afghanistan,4/1/2018,Country or economy,Asia,Wind,0,
Afghanistan,5/1/2018,Country or economy,Asia,All technologies,4959312,
Afghanistan,5/1/2018,Country or economy,Asia,Batteries,126852,
Afghanistan,5/1/2018,Country or economy,Asia,EVs,1500,
Afghanistan,5/1/2018,Country or economy,Asia,Grid,12895,
Afghanistan,5/1/2018,Country or economy,Asia,Heating and cooling systems,536736,
Afghanistan,5/1/2018,Country or economy,Asia,Solar PV,4281329,
Afghanistan,5/1/2018,Country or economy,Asia,Wind,0,
Afghanistan,6/1/2018,Country or economy,Asia,All technologies,2417989,
Afghanistan,6/1/2018,Country or economy,Asia,Batteries,182784,
Afghanistan,6/1/2018,Country or economy,Asia,EVs,14520,
Afghanistan,6/1/2018,Country or economy,Asia,Grid,23075,
Afghanistan,6/1/2018,Country or economy,Asia,Heating and cooling systems,445744,
Afghanistan,6/1/2018,Country or economy,Asia,Solar PV,1751866,
Afghanistan,6/1/2018,Country or economy,Asia,Wind,0,
Afghanistan,7/1/2018,Country or economy,Asia,All technologies,1375794,
Afghanistan,7/1/2018,Country or economy,Asia,Batteries,19038,
Afghanistan,7/1/2018,Country or economy,Asia,EVs,2000,
Afghanistan,7/1/2018,Country or economy,Asia,Grid,154668,
Afghanistan,7/1/2018,Country or economy,Asia,Heating and cooling systems,342200,
Afghanistan,7/1/2018,Country or economy,Asia,Solar PV,857888,
Afghanistan,7/1/2018,Country or economy,Asia,Wind,0,
Afghanistan,8/1/2018,Country or economy,Asia,All technologies,1488196,
Afghanistan,8/1/2018,Country or economy,Asia,Batteries,134872,
Afghanistan,8/1/2018,Country or economy,Asia,EVs,466,
Afghanistan,8/1/2018,Country or economy,Asia,Grid,7765,
Afghanistan,8/1/2018,Country or economy,Asia,Heating and cooling systems,277678,
Afghanistan,8/1/2018,Country or economy,Asia,Solar PV,1067415,
Afghanistan,8/1/2018,Country or economy,Asia,Wind,0,
Afghanistan,9/1/2018,Country or economy,Asia,All technologies,1271858,
Afghanistan,9/1/2018,Country or economy,Asia,Batteries,326870,
Afghanistan,9/1/2018,Country or economy,Asia,EVs,0,
Afghanistan,9/1/2018,Country or economy,Asia,Grid,119348,
Afghanistan,9/1/2018,Country or economy,Asia,Heating and cooling systems,214437,
Afghanistan,9/1/2018,Country or economy,Asia,Solar PV,611203,
Afghanistan,9/1/2018,Country or economy,Asia,Wind,0,
Afghanistan,10/1/2018,Country or economy,Asia,All technologies,3049189,
Afghanistan,10/1/2018,Country or economy,Asia,Batteries,304136,
Afghanistan,10/1/2018,Country or economy,Asia,EVs,79,
Afghanistan,10/1/2018,Country or economy,Asia,Grid,13449,
Afghanistan,10/1/2018,Country or economy,Asia,Heating and cooling systems,785813,
Afghanistan,10/1/2018,Country or economy,Asia,Solar PV,1945712,
Afghanistan,10/1/2018,Country or economy,Asia,Wind,0,
Afghanistan,11/1/2018,Country or economy,Asia,All technologies,2322100,
Afghanistan,11/1/2018,Country or economy,Asia,Batteries,368028,
Afghanistan,11/1/2018,Country or economy,Asia,EVs,0,
Afghanistan,11/1/2018,Country or economy,Asia,Grid,6287,
Afghanistan,11/1/2018,Country or economy,Asia,Heating and cooling systems,149640,
Afghanistan,11/1/2018,Country or economy,Asia,Solar PV,1798145,
